event_id,timestamp,user_id,username,department,event_type,auth_method,source_ip,ip_status,hostname,device_id,session_id,mfa_passed,failure_reason,risk_score_numeric,risk_level,geo_location
IAM00008974,2026-09-05 12:43:00,EMP11889,atharv.shukla79,Compliance,LOGIN_SUCCESS,OTP,UNKNOWN,UNKNOWN,VDR-11889,DEV48365,SID120652,True,,78.0,,PUNJAB
IAM00017969,2026-09-09 01:56:18,EMP10918,isha.vyas39,Operations,MFA_FAILURE,BIOMETRIC,10-141.198,MALFORMED,WS-10918,DEV79178,,False,MFA_FAILED,78.0,,MAHARASHTRA
IAM00015700,2026-09-04 04:04:00,EMP10629,ojasvi.majumdar45,Operations,LOGIN_FAILURE,CERTIFICATE,999.999.999.999,MALFORMED,WS-10629,,,True,,,HIGH,REMOTE
IAM00016756,2026-09-09 00:00:00,EMP10271,widisha.nagy75,Legal,PASSWORD_RESET,MFA,10.131.74,MALFORMED,LPT-10271,DEV53236,,False,,78.0,,PUNJAB
IAM00009357,2026-08-03 00:01:59,EMP10122,osha.chakraborty87,Legal,MFA_FAILURE,OTP,172.16.14.,MALFORMED,LPT-10122,DEV61717,,False,,32.0,,REMOTE
IAM00014775,2026-08-26 21:29:16,EMP12961,chatura.char56,Operations,LOGIN_SUCCESS,MFA,31.131.170.195,VALID_PUBLIC,LPT-12961,DEV98510,,True,,,,INDIA
IAM00004189,2026-08-10 00:00:00,EMP10289,jonathan.narayanan92,Human Resources,LOGIN_SUCCESS,CERTIFICATE,20.56.54.159,VALID_PUBLIC,LPT-10289,DEV59807,SID754956,True,,15.0,,PUNJAB
IAM00016161,2026-08-18 20:34:50,EMP12196,vedika.loke72,Sales,ACCOUNT_UNLOCK,BIOMETRIC,,MISSING,LPT-12196,DEV78349,,True,,94.0,,INDIA
IAM00013358,2026-08-06 13:55:03,EMP12764,urmi.dey32,Customer Support,LOGIN_FAILURE,MFA,UNKNOWN,UNKNOWN,VDR-12764,DEV62437,,True,MFA_FAILED,56.0,,
IAM00006152,2026-08-22 00:00:00,EMP11251,amrita.balakrishnan89,Supply Chain,LOGIN_FAILURE,PASSWORD,172.16.142.135.0,MALFORMED,VDR-11251,DEV32326,SID567692,False,,91.0,,INDIA
IAM00007817,2026-08-13 10:49:00,EMP11436,christopher.sarna67,R&D,LOGIN_FAILURE,PASSWORD,192.168.42.,MALFORMED,VDR-11436,DEV60551,SID659017,False,EXPIRED_PASSWORD,,,
IAM00019438,2026-09-01 21:04:48,EMP10912,mohammed.devan20,Operations,LOGIN_FAILURE,BIOMETRIC,24.235.2.,MALFORMED,LPT-10912,DEV26119,,False,OTP_EXPIRED,48.0,,MAHARASHTRA
IAM00019877,2026-08-15 11:40:14,EMP11632,wridesh.thakur86,Marketing,MFA_FAILURE,OTP,36.141.191.113,VALID_PUBLIC,VDR-11632,DEV92076,,False,ACCOUNT_LOCKED,,,
IAM00010429,2026-09-05 00:00:00,EMP12973,manya.chakrabarti30,Operations,LOGIN_SUCCESS,SSO,172.16.118.90,VALID_PRIVATE,LPT-12973,DEV53857,SID662830,True,,79.0,,PUNJAB
IAM00019043,2026-09-05 07:18:17,EMP12622,bimala.kuruvilla18,Sales,LOGIN_FAILURE,PASSWORD,107.242.96.202,VALID_PUBLIC,LPT-12622,DEV25930,,False,EXPIRED_PASSWORD,45.0,,
IAM00012228,2026-09-01 20:44:00,EMP12505,radhika.bath93,Procurement,ACCOUNT_UNLOCK,BIOMETRIC,85.253.27.160,VALID_PUBLIC,LPT-12505,DEV68365,,False,,46.0,,MAHARASHTRA
IAM00018081,2026-08-04 08:56:32,EMP12175,ira.kaul35,Innovation,LOGIN_SUCCESS,SSO,999.999.999.999,MALFORMED,WS-12175,DEV44487,SID494071,False,,75.0,,INDIA
IAM00015178,2026-09-06 21:47:12,EMP12704,vedhika.khatri69,Procurement,LOGIN_FAILURE,BIOMETRIC,172.16.82.192,VALID_PRIVATE,LPT-12704,DEV49043,,False,OTP_EXPIRED,46.0,,
IAM00001123,2026-08-26 19:16:45,EMP10486,thomas.kaul29,Sales,LOGIN_FAILURE,CERTIFICATE,192.168.75.75,VALID_PRIVATE,WS-10486,DEV48479,SID505840,True,TIMEOUT,99.0,,REMOTE
IAM00008713,,EMP10726,orinder_sanghvi74,IT,LOGIN_SUCCESS,OTP,142.16.111.169,VALID_PUBLIC,WS-10726,DEV72670,,False,,,,PUNJAB
IAM00007968,2026-08-13 08:36:28,EMP12197,qasim.rout20,People,LOGIN_FAILURE,BIOMETRIC,172.16.58.169,VALID_PRIVATE,LPT-12197,DEV61366,SID184227,True,ACCOUNT_LOCKED,90.0,,PUNJAB
IAM00000908,2026-08-31 18:20:13,EMP12144,krishna.gala53,Brand,LOGIN_FAILURE,CERTIFICATE,10.173.123,MALFORMED,LPT-12144,DEV10044,SID243770,False,,23.0,,
IAM00013125,,EMP12056,chakradev.ramaswamy82,Legal,DEVICE_REGISTERED,CERTIFICATE,,MISSING,LPT-12056,DEV99390,,False,,29.0,,DELHI
IAM00014481,,EMP10317,girik.merchant23,Customer Support,LOGIN_FAILURE,BIOMETRIC,192.168.70.191,VALID_PRIVATE,WS-10317,DEV28388,,False,BAD_TOKEN,,,DELHI
IAM00001695,2026-09-06 14:22:36,EMP10795,aditya.nagarajan68,People,LOGIN_SUCCESS,CERTIFICATE,192.168.59.37,VALID_PRIVATE,VDR-10795,DEV34018,SID785493,True,,61.0,,DELHI
IAM00001632,2026-09-07 09:13:06,EMP11969,theodore.pandya55,Compliance,LOGIN_SUCCESS,CERTIFICATE,UNKNOWN,UNKNOWN,VDR-11969,DEV22580,SID303551,True,,3.0,,INDIA
IAM00008500,2026-08-23 00:00:00,EMP11411,zaid.raval52,Brand,LOGIN_SUCCESS,OTP,10.0.204,MALFORMED,VDR-11411,DEV96424,,True,,78.0,,PUNJAB
IAM00009796,2026-08-22 06:29:28,EMP10845,abeer.kashyap41,Operations,ACCOUNT_LOCK,PASSWORD,192.168.119.1,VALID_PRIVATE,WS-10845,DEV40924,SID-761290,True,,93.0,,UNKNOWN
IAM00016398,2026-08-26 14:42:42,EMP11001,aarush.prashad25,Procurement,LOGIN_SUCCESS,CERTIFICATE,172.16.85.218.0,MALFORMED,VDR-11001,DEV81188,SID692231,True,,92.0,,DELHI
IAM00006344,2026-08-30 13:44:08,EMP10540,zinal.samra91,Human Resources,LOGIN_SUCCESS,CERTIFICATE,192.168.175.195,VALID_PRIVATE,WS-10540,DEV83284,SID583041,True,,81.0,,DELHI
IAM00009028,2026-08-21 00:00:00,EMP10750,wazir.bobal30,People,LOGIN_SUCCESS,SSO,104.39.84.130,VALID_PUBLIC,LPT-10750,DEV41079,SID303611,True,,11.0,,INDIA
IAM00019876,2026-08-05 06:45:32,EMP11269,ekavir.kalita10,Finance,LOGIN_SUCCESS,CERTIFICATE,,MISSING,WS-11269,DEV72105,SID558111,True,,64.0,,UNKNOWN
IAM00016832,2026-08-26 23:20:00,EMP11877,osha.mani16,Supply Chain,LOGIN_SUCCESS,MFA,10.250.140,MALFORMED,VDR-11877,DEV51558,,True,,94.0,,UNKNOWN
IAM00017893,2026-08-13 00:00:00,EMP12179,bhavika.naidu97,Sales,LOGIN_SUCCESS,BIOMETRIC,10.255.45,MALFORMED,WS-12179,DEV57451,,True,,52.0,,INDIA
IAM00011019,2026-08-02 17:40:34,EMP11788,yadavi.kaur93,Marketing,LOGIN_SUCCESS,PASSWORD,192.168.182.20,VALID_PRIVATE,LPT-11788,DEV40210,SID171239,True,,,,INDIA
IAM00002644,2026-08-21 08:44:00,EMP11178,mason.goyal5,Procurement,LOGIN_FAILURE,SSO,134.214.48.30,VALID_PUBLIC,LPT-11178,DEV11424,,False,,,,INDIA
IAM00018557,2026-09-02 00:45:04,EMP11559,girish.jayaraman91,R&D,LOGIN_SUCCESS,SSO,192.168.14.231,VALID_PRIVATE,VDR-11559,DEV85650,SID715746,True,,24.0,,
IAM00000277,2026-08-17 15:27:14,EMP10606,hemani.bose33,Operations,LOGIN_SUCCESS,PASSWORD,10.181.166,MALFORMED,WS-10606,DEV10025,SID484519,True,,78.0,,DELHI
IAM00000759,2026-08-27 16:20:33,EMP11829,azad.dewan44,Supply Chain,LOGIN_SUCCESS,SSO,175.129.29.65,VALID_PUBLIC,WS-11829,DEV43827,SID105481,True,,,,
IAM00004991,,EMP10280,naksh.wali11,IT,LOGIN_SUCCESS,OTP,207.18.160.109,VALID_PUBLIC,WS-10280,DEV59436,SID161473,True,,29.0,,PUNJAB
