threat_id,user_id,threat_type,severity,confidence,evidence,first_observed,last_observed,related_hostname,related_alert_count,recommended_action
THR00368,EMP10061,Malware + Lateral Movement,Critical,High,Malware and lateral-movement alerts were observed on the same hostname (vdr-10061) within 24 hours,2026-08-17 02:50:47,2026-08-18 00:00:00,vdr-10061,2,Isolate the affected endpoint and investigate lateral-movement indicators immediately
THR00370,EMP10290,Malware + Lateral Movement,Critical,High,Malware and lateral-movement alerts were observed on the same hostname (lpt-10290) within 24 hours,2026-08-05 09:36:44,2026-08-05 23:36:19,lpt-10290,2,Isolate the affected endpoint and investigate lateral-movement indicators immediately
THR00371,EMP10300,Malware + Lateral Movement,Critical,High,Malware and lateral-movement alerts were observed on the same hostname (vdr-10300) within 24 hours,2026-08-18 00:00:00,2026-08-18 04:56:08,vdr-10300,2,Isolate the affected endpoint and investigate lateral-movement indicators immediately
THR00372,EMP10343,Malware + Lateral Movement,Critical,High,Malware and lateral-movement alerts were observed on the same hostname (vdr-10343) within 24 hours,2026-08-27 00:13:32,2026-08-27 03:58:00,vdr-10343,2,Isolate the affected endpoint and investigate lateral-movement indicators immediately
THR00373,EMP10394,Malware + Lateral Movement,Critical,High,Malware and lateral-movement alerts were observed on the same hostname (ws-10394) within 24 hours,2026-09-03 16:52:57,2026-09-04 16:29:55,ws-10394,2,Isolate the affected endpoint and investigate lateral-movement indicators immediately
THR00375,EMP10439,Malware + Lateral Movement,Critical,High,Malware and lateral-movement alerts were observed on the same hostname (lpt-10439) within 24 hours,2026-09-03 11:08:11,2026-09-04 00:00:00,lpt-10439,2,Isolate the affected endpoint and investigate lateral-movement indicators immediately
THR00376,EMP10461,Malware + Lateral Movement,Critical,High,Malware and lateral-movement alerts were observed on the same hostname (ws-10461) within 24 hours,2026-08-11 06:51:00,2026-08-12 00:51:29,ws-10461,2,Isolate the affected endpoint and investigate lateral-movement indicators immediately
THR00378,EMP10485,Malware + Lateral Movement,Critical,High,Malware and lateral-movement alerts were observed on the same hostname (vdr-10485) within 24 hours,2026-08-18 21:39:49,2026-08-18 22:22:06,vdr-10485,2,Isolate the affected endpoint and investigate lateral-movement indicators immediately
THR00379,EMP10486,Malware + Lateral Movement,Critical,High,Malware and lateral-movement alerts were observed on the same hostname (ws-10486) within 24 hours,2026-08-22 00:00:00,2026-08-22 03:54:41,ws-10486,2,Isolate the affected endpoint and investigate lateral-movement indicators immediately
THR00380,EMP10744,Malware + Lateral Movement,Critical,High,Malware and lateral-movement alerts were observed on the same hostname (vdr-10744) within 24 hours,2026-08-16 00:00:00,2026-08-16 03:35:35,vdr-10744,2,Isolate the affected endpoint and investigate lateral-movement indicators immediately
THR00381,EMP10882,Malware + Lateral Movement,Critical,High,Malware and lateral-movement alerts were observed on the same hostname (ws-10882) within 24 hours,2026-09-01 19:19:37,2026-09-02 18:56:59,ws-10882,2,Isolate the affected endpoint and investigate lateral-movement indicators immediately
