log_id,timestamp,hostname,src_ip,dst_ip,src_port,dst_port,protocol,action,bytes_sent,bytes_received,session_id,threat_flag,rule_name,geo_country,hostname_join_key,src_ip_valid,dst_ip_valid,src_port_status,dst_port_status,bytes_sent_status,bytes_received_status
FW000002394,2026-09-06 11:22:07,lpt-11180,,,25,443,TCP,ALLOW,727539,15092296,,False,,US,lpt-11180,False,False,valid,valid,valid,valid
FW000010469,2026-09-03 07:11:28,lpt-12202,,,8080,25,TCP,DENY,31543169,20792470,SID191825,False,BLOCK_TOR_EXIT,CN,lpt-12202,False,False,valid,valid,valid,valid
FW000014783,2026-08-13 17:11:00,vdr-12618,192.168.39.124,,,135,UDP,ALLOW,23607256,20374317,SID963012,True,UNKNOWN,UNKNOWN,vdr-12618,True,False,invalid,valid,valid,valid
FW000020363,,vdr-11201,156.204.122.36,,8443,,UDP,DENY,,40629470,SID910746,False,,UNKNOWN,vdr-11201,True,False,valid,missing,missing,valid
FW000001711,2026-08-25 08:26:06,lpt-11882,145.73.181.9,,3389,8080,UDP,ALLOW,43682143,2159125,SID714372,False,DENY_TELNET,RU,lpt-11882,True,False,valid,valid,valid,valid
FW000006743,2026-09-05 22:06:16,ws-12120,,192.168.55.8,22,8443,TCP,ALLOW,26306691,13482874,SID982658,False,ALLOW_OFFICE_APPS,RU,ws-12120,False,True,valid,valid,valid,valid
FW000013362,2026-09-08 00:07:00,ws-10408,192.168.81.155,,,,TCP,DENY,46733971,40723164,,False,,IN,ws-10408,True,False,missing,missing,valid,valid
FW000012537,2026-08-21 04:35:00,,,183.114.107.123,8443,,TCP,ALLOW,22350548,12075054,,False,MONITOR_DB_ACCESS,US,,False,True,valid,missing,valid,valid
FW000013677,2026-08-09 10:12:18,vdr-11508,192.168.133.133,,445,8080,TCP,ALLOW,35366491,21521981,SID605740,False,ALLOW_OFFICE_APPS,,vdr-11508,True,False,valid,valid,valid,valid
FW000028164,2026-08-15 10:08:00,ws-12879,67.230.146.16,,443,135,TCP,ALLOW,39736812,16679948,SID865676,False,ALLOW_OFFICE_APPS,CN,ws-12879,True,False,valid,valid,valid,valid
FW000018439,2026-08-20 14:13:49,ws-11108,123.248.215.152,,8443,,TCP,ALLOW,39606947,45749371,SID816338,False,MONITOR_DB_ACCESS,US,ws-11108,True,False,valid,missing,valid,valid
FW000005116,2026-08-08 12:40:00,,,143.230.236.92,3389,3389,TCP,ALLOW,35549756,26804,SID209067,False,UNKNOWN,CN,,False,True,valid,valid,valid,valid
FW000012406,2026-08-17 20:22:19,ws-11953,192.168.139.226,,8080,0,TCP,ALLOW,49527024,17088650,SID989548,False,ALLOW_INTERNAL_DNS,US,ws-11953,True,False,valid,valid,valid,valid
FW000027859,,ws-11372,,,8080,25,UDP,DENY,,8848228,SID321081,False,BLOCK_TOR_EXIT,,ws-11372,False,False,valid,valid,missing,valid
FW000002141,2026-09-09 00:00:00,vdr-10638.corp.local,,,,135,TCP,ALLOW,38886739,38577111,SID195136,False,UNKNOWN,CN,vdr-10638,,False,invalid,valid,valid,valid
FW000013089,2026-08-23 03:54:00,vdr-10165,,122.161.65.162,,443,TCP,DENY,5333880,33603939,SID707651,False,ALLOW_WEB,,vdr-10165,False,True,invalid,valid,valid,valid
FW000010655,,lpt-11191,10.162.144.0,,8443,,UDP,DENY,20588901,21425754,SID903924,False,UNKNOWN,IN,lpt-11191,True,False,valid,missing,valid,valid
FW000007354,,,61.27.27.235,,,80,TCP,DENY,12863477,7681667,SID598053,True,DENY_TELNET,RU,,True,False,invalid,valid,valid,valid
FW000026490,2026-08-04 03:23:15,vdr-10498,105.145.224.169,192.168.70.44,8443,80,TCP,DENY,36857446,,SID320757,False,ALLOW_INTERNAL_DNS,,vdr-10498,True,True,valid,valid,valid,missing
FW000007603,2026-08-23 00:00:00,vdr-12480,182.140.176.178,103.61.182.141,443,8443,TCP,DENY,29951357,18098013,SID531430,False,BLOCK_TOR_EXIT,CN,vdr-12480,True,True,valid,valid,valid,valid
FW000019396,2026-08-20 21:31:00,vdr-11494,,,25,,TCP,ALLOW,37060184,15493315,,False,,UNKNOWN,vdr-11494,False,False,valid,missing,valid,valid
FW000024924,2026-09-08 01:05:04,vdr-11999,192.168.217.6,,25,22,UDP,DENY,,6823662,SID122442,False,ALLOW_WEB,CN,vdr-11999,True,False,valid,valid,missing,valid
FW000017708,2026-08-18 07:12:08,vdr-12823,192.168.36.176,172.16.164.62,443,25,TCP,DENY,13767894,35959647,SID398629,False,,CN,vdr-12823,True,True,valid,valid,valid,valid
FW000022559,2026-08-16 11:11:41,lpt-10414,,,3306,80,UDP,ALLOW,13084174,,SID878412,False,ALLOW_WEB,,lpt-10414,False,False,valid,valid,valid,missing
FW000027566,,vdr-10489,192.168.245.10,192.168.67.145,3389,80,TCP,ALLOW,31374454,42624614,SID595221,False,ALLOW_INTERNAL_DNS,RU,vdr-10489,True,True,valid,valid,valid,valid
FW000019422,2026-08-07 10:38:53,ws-12913,,172.16.48.60,,,UDP,ALLOW,6477884,29134564,SID390749,False,BLOCK_EXTERNAL_RDP,,ws-12913,False,True,missing,missing,valid,valid
FW000005219,2026-08-15 09:28:51,lpt-12575,192.168.51.100,172.16.75.59,3389,22,TCP,ALLOW,16075423,10802819,SID768286,False,MONITOR_DB_ACCESS,,lpt-12575,True,True,valid,valid,valid,valid
FW000012543,2026-08-02 10:44:07,lpt-12597,172.16.31.14,216.109.203.198,22,,TCP,DENY,1705068,3019487,SID633485,False,BLOCK_TOR_EXIT,IN,lpt-12597,True,True,valid,invalid,valid,valid
FW000007556,2026-08-19 09:27:00,vdr-12465,,172.16.3.126,443,443,UDP,ALLOW,31530947,28341918,SID621222,False,ALLOW_INTERNAL_DNS,,vdr-12465,False,True,valid,valid,valid,valid
FW000006836,2026-08-10 03:11:51,ws-11442,,172.16.12.70,8443,3389,UDP,DENY,17008932,34016110,SID110302,False,BLOCK_TOR_EXIT,IN,ws-11442,False,True,valid,valid,valid,valid
FW000016821,2026-09-09 07:45:00,vdr-11091,,,,3306,TCP,ALLOW,37980436,34197716,SID119564,False,DENY_TELNET,UNKNOWN,vdr-11091,False,False,missing,valid,valid,valid
FW000009483,2026-08-20 00:00:00,vdr-10740,172.16.176.126,192.168.176.87,,,TCP,ALLOW,22124954,32180153,SID154338,False,ALLOW_WEB,IN,vdr-10740,True,True,missing,invalid,valid,valid
FW000014844,2026-08-16 00:00:00,,172.16.235.56,101.145.78.155,,3306,UDP,ALLOW,45648625,11026557,SID999774,False,,US,,True,True,missing,valid,valid,valid
FW000016637,2026-08-08 17:13:46,,172.16.242.164,,3306,,TCP,ALLOW,40279097,620980,SID581567,False,UNKNOWN,IN,,True,False,valid,invalid,valid,valid
FW000010002,2026-08-23 19:12:26,vdr-10278,,,53,445,ICMP,ALLOW,40863007,263790,SID361728,False,ALLOW_WEB,CN,vdr-10278,False,,valid,valid,valid,valid
FW000012103,2026-08-27 23:06:00,lpt-12231,,,,,UDP,ALLOW,4510732,31653496,SID522198,False,,IN,lpt-12231,False,False,invalid,missing,valid,valid
FW000023762,,ws-12902,,189.72.46.97,,445,TCP,ALLOW,18419231,8562954,SID821602,False,UNKNOWN,RU,ws-12902,False,True,invalid,valid,valid,valid
FW000010243,2026-09-08 12:43:01,vdr-10735,,,443,445,UDP,ALLOW,39399009,45643710,,False,ALLOW_INTERNAL_DNS,CN,vdr-10735,False,,valid,valid,valid,valid
FW000016419,2026-09-06 00:00:00,lpt-11138,,,8080,,OTHER,ALLOW,22469301,26318973,SID944709,False,,,lpt-11138,False,False,valid,invalid,valid,valid
FW000016085,2026-08-22 00:00:00,ws-10878,,,445,3306,TCP,DENY,47895087,,SID901254,False,,,ws-10878,False,False,valid,valid,valid,invalid
FW000002010,2026-09-02 02:27:59,vdr-10222,172.16.10.213,,22,3306,TCP,ALLOW,46422639,8455991,SID493161,False,MONITOR_DB_ACCESS,,vdr-10222,True,False,valid,valid,valid,valid
FW000018098,2026-08-12 13:59:29,vdr-11927,,,,3389,TCP,ALLOW,,49501142,,False,,CN,vdr-11927,,False,invalid,valid,missing,valid
FW000024231,2026-08-18 15:57:19,ws-10036,172.16.81.226,22.45.33.226,3306,8080,UDP,ALLOW,1119535,49407356,SID826123,False,,CN,ws-10036,True,True,valid,valid,valid,valid
FW000029944,2026-08-14 05:53:13,vdr-10035,,10.2.124.0,3306,22,UDP,ALLOW,,26572596,SID212194,False,DENY_TELNET,RU,vdr-10035,False,True,valid,valid,missing,valid
FW000027337,,vdr-12513,10.53.34.0,,,22,TCP,ALLOW,3866855,40903083,SID993036,False,MONITOR_DB_ACCESS,,vdr-12513,True,False,invalid,valid,valid,valid
FW000017809,2026-08-12 21:26:00,vdr-10611.corp.local,137.144.198.79,,,3389,TCP,ALLOW,28432888,32585454,SID535128,False,ALLOW_INTERNAL_DNS,,vdr-10611,True,False,missing,valid,valid,valid
FW000023405,2026-08-21 18:32:52,ws-11108,172.16.232.92,207.142.86.138,135,25,TCP,ALLOW,684739,,,True,ALLOW_OFFICE_APPS,CN,ws-11108,True,True,valid,valid,valid,missing
FW000008539,2026-08-03 00:00:00,,,,443,25,TCP,ALLOW,26905208,12423698,SID296803,False,ALLOW_WEB,RU,,False,False,valid,valid,valid,valid
FW000003800,2026-08-28 00:00:00,lpt-11299,,,,3389,TCP,ALLOW,38911739,41161430,SID787610,False,UNKNOWN,US,lpt-11299,False,False,missing,valid,valid,valid
FW000010782,,lpt-10842,,212.163.80.67,8443,53,TCP,ALLOW,36830616,30278320,SID535530,False,MONITOR_DB_ACCESS,,lpt-10842,False,True,valid,valid,valid,valid
FW000009004,2026-09-04 16:06:40,,,,1433,3389,TCP,ALLOW,43780920,41194567,SID916554,True,BLOCK_TOR_EXIT,UNKNOWN,,,False,valid,valid,valid,valid
FW000023602,2026-08-27 10:30:48,lpt-12843,,172.151.155.186,443,8080,TCP,DENY,,4771475,SID550712,False,,,lpt-12843,False,True,valid,valid,missing,valid
FW000008301,2026-08-09 04:28:54,vdr-11599,,,8443,3306,ICMP,ALLOW,41041611,47895945,SID184900,False,,IN,vdr-11599,False,False,valid,valid,valid,valid
FW000008945,2026-08-29 05:34:23,vdr-11047,,172.16.48.100,443,3389,TCP,ALLOW,,37127287,,False,ALLOW_WEB,RU,vdr-11047,False,True,valid,valid,missing,valid
FW000026442,2026-08-06 11:56:12,lpt-12370,,192.168.211.188,135,8443,TCP,ALLOW,28802832,16431186,,False,BLOCK_EXTERNAL_RDP,IN,lpt-12370,False,True,valid,valid,valid,valid
FW000005721,2026-08-01 00:00:00,lpt-11751,,202.251.108.84,80,53,TCP,ALLOW,48755707,21659021,SID331359,False,BLOCK_TOR_EXIT,CN,lpt-11751,False,True,valid,valid,valid,valid
FW000027420,2026-08-18 08:28:56,lpt-11683,172.16.190.39,192.168.53.57,3306,445,TCP,DENY,,38746517,,False,MONITOR_DB_ACCESS,,lpt-11683,True,True,valid,valid,invalid,valid
FW000021832,2026-08-04 17:49:00,vdr-11264,,,3389,53,TCP,ALLOW,47344876,,SID772491,False,,US,vdr-11264,False,False,valid,valid,valid,missing
FW000000737,2026-08-10 08:24:00,vdr-10599,,,1433,8080,UDP,ALLOW,44624586,1792891,SID914418,False,ALLOW_INTERNAL_DNS,IN,vdr-10599,False,,valid,valid,valid,valid
FW000025249,2026-08-25 04:25:00,ws-12077,172.16.30.48,113.168.91.146,25,8080,TCP,ALLOW,19476522,,SID504338,False,ALLOW_OFFICE_APPS,US,ws-12077,True,True,valid,valid,valid,invalid
FW000008944,2026-08-08 02:28:06,vdr-12312,,172.16.61.25,443,22,TCP,ALLOW,46331420,26933750,,False,,RU,vdr-12312,False,True,valid,valid,valid,valid
FW000007651,2026-08-16 00:06:07,ws-12232,10.38.136.0,,3306,,TCP,ALLOW,45992400,23477617,SID629452,False,BLOCK_EXTERNAL_RDP,CN,ws-12232,True,,valid,missing,valid,valid
FW000008226,2026-09-08 04:56:00,ws-10325,,90.101.122.41,3389,25,UDP,ALLOW,28224587,4949010,SID518246,False,ALLOW_WEB,,ws-10325,False,True,valid,valid,valid,valid
FW000006217,2026-08-01 05:20:40,vdr-12464,172.16.247.35,,3389,,TCP,DENY,39884181,45143747,SID242697,False,DENY_TELNET,,vdr-12464,True,False,valid,missing,valid,valid
FW000015063,2026-09-01 00:00:00,,,192.168.198.8,,443,TCP,DENY,15997880,42134729,SID997151,False,BLOCK_TOR_EXIT,UNKNOWN,,False,True,invalid,valid,valid,valid
FW000028466,2026-09-08 10:13:05,vdr-10843,,192.168.185.116,135,8080,TCP,ALLOW,32713900,25286876,SID763339,False,DENY_TELNET,US,vdr-10843,False,True,valid,valid,valid,valid
FW000014665,2026-08-01 11:17:36,vdr-10718,172.16.24.64,192.168.153.88,,8080,TCP,ALLOW,44407194,6638209,SID104189,False,BLOCK_EXTERNAL_RDP,CN,vdr-10718,True,True,invalid,valid,valid,valid
FW000011605,2026-08-09 09:35:14,ws-10546,,,3389,445,TCP,ALLOW,,,SID335655,False,BLOCK_TOR_EXIT,CN,ws-10546,False,False,valid,valid,missing,missing
FW000002993,2026-08-26 00:00:00,ws-10252,,187.147.89.171,,1433,TCP,ALLOW,36283679,,SID714560,False,,UNKNOWN,ws-10252,False,True,invalid,valid,valid,invalid
FW000005101,2026-08-29 21:33:23,,172.16.127.6,,3389,3389,ICMP,ALLOW,24938196,46204596,,False,BLOCK_TOR_EXIT,IN,,True,False,valid,valid,valid,valid
FW000000429,2026-08-07 19:55:08,lpt-11011,,,,443,TCP,ALLOW,33029976,11744013,SID882944,False,UNKNOWN,CN,lpt-11011,False,False,missing,valid,valid,valid
FW000028507,2026-08-28 17:47:03,lpt-10854,,,445,,TCP,DENY,19069910,,SID940336,True,,,lpt-10854,False,False,valid,invalid,valid,missing
FW000004161,2026-08-18 23:38:59,vdr-10482,,172.16.220.49,443,8080,UDP,ALLOW,35873798,46934177,SID670517,False,ALLOW_INTERNAL_DNS,IN,vdr-10482,False,True,valid,valid,valid,valid
