device_key,alert_count,critical_alert_count,high_alert_count,unresolved_alert_count,unresolved_critical_count,malware_or_ransomware_count,powershell_count,lateral_movement_count,credential_access_count,tampering_count,usb_count,impossible_resolution_count,inactive_user_activity_count,identity_join_review_count,associated_user_count,risk_score,risk_reasons,critical_severity_points,high_severity_points,unresolved_critical_points,malware_ransomware_points,powershell_points,lateral_movement_points,credential_access_points,tampering_points,usb_points,impossible_resolution_points,inactive_user_points,identity_review_points,risk_band,hostname,device_criticality,departments
WS-11374,7,1,2,5,1,2,0,1,1,0,1,0,7,7,1,53,1 critical alert(s); 1 unresolved critical alert(s); 2 malware/ransomware alert(s); 1 lateral-movement alert(s); 1 credential-access alert(s); 7 inactive-user event(s); 7 identity review concern(s),5,6,3,6,0,2,2,0,1,0,21,7,Critical,WS-11374,Low,Hr
WS-12745,6,0,4,4,0,3,1,1,1,0,0,1,6,6,1,52,3 malware/ransomware alert(s); 1 PowerShell alert(s); 1 lateral-movement alert(s); 1 credential-access alert(s); 6 inactive-user event(s); 6 identity review concern(s),0,12,0,9,2,2,2,0,0,1,18,6,Critical,WS-12745,Medium,Cs
VDR-10238,7,1,2,3,1,3,3,0,0,0,0,0,7,0,1,50,1 critical alert(s); 1 unresolved critical alert(s); 3 malware/ransomware alert(s); 3 PowerShell alert(s); 7 inactive-user event(s),5,6,3,9,6,0,0,0,0,0,21,0,Critical,VDR-10238,Medium,Legal
WS-10394,8,2,3,5,2,4,0,2,2,0,0,1,0,0,1,46,2 critical alert(s); 2 unresolved critical alert(s); 4 malware/ransomware alert(s); 2 lateral-movement alert(s); 2 credential-access alert(s),10,9,6,12,0,4,4,0,0,1,0,0,Critical,WS-10394,High,Human Resource
LPT-12990,6,2,1,5,1,2,0,0,3,0,0,0,6,0,1,46,2 critical alert(s); 1 unresolved critical alert(s); 2 malware/ransomware alert(s); 3 credential-access alert(s); 6 inactive-user event(s),10,3,3,6,0,0,6,0,0,0,18,0,Critical,LPT-12990,Low,Procurement Team
VDR-11757,6,1,2,4,1,4,1,0,0,0,0,0,6,0,1,46,1 critical alert(s); 1 unresolved critical alert(s); 4 malware/ransomware alert(s); 1 PowerShell alert(s); 6 inactive-user event(s),5,6,3,12,2,0,0,0,0,0,18,0,Critical,VDR-11757,Low,It Support
LPT-11024,7,0,3,3,0,3,0,2,0,0,1,1,7,0,1,45,3 malware/ransomware alert(s); 2 lateral-movement alert(s); 7 inactive-user event(s),0,9,0,9,0,4,0,0,1,1,21,0,Critical,LPT-11024,Medium,Innovation
LPT-11862,7,0,2,7,0,3,2,1,1,0,0,0,7,0,1,44,3 malware/ransomware alert(s); 2 PowerShell alert(s); 1 lateral-movement alert(s); 1 credential-access alert(s); 7 inactive-user event(s),0,6,0,9,4,2,2,0,0,0,21,0,Critical,LPT-11862,Medium,Cs
VDR-10300,6,0,4,5,0,2,1,2,0,0,1,1,6,0,1,44,2 malware/ransomware alert(s); 1 PowerShell alert(s); 2 lateral-movement alert(s); 6 inactive-user event(s),0,12,0,6,2,4,0,0,1,1,18,0,Critical,VDR-10300,High,Rnd
VDR-10914,6,0,3,6,0,1,3,0,1,0,0,0,6,6,1,44,1 malware/ransomware alert(s); 3 PowerShell alert(s); 1 credential-access alert(s); 6 inactive-user event(s); 6 identity review concern(s),0,9,0,3,6,0,2,0,0,0,18,6,Critical,VDR-10914,Critical,Operations Dept
