column,rows,missing_count,missing_pct,unique_values
alert_id,8000,0,0.0,8000
detected_timestamp,8000,976,12.2,5767
resolved_timestamp,8000,2333,29.16,4670
hostname,8000,481,6.01,3278
hostname_join_key,8000,481,6.01,2759
user_id,8000,0,0.0,2799
endpoint_product,8000,0,0.0,9
alert_name,8000,0,0.0,15
severity,8000,0,0.0,4
status,8000,0,0.0,6
description,8000,0,0.0,10
file_path,8000,1622,20.28,8
process_name,8000,2190,27.38,8
sha256,8000,1438,17.97,6562
assigned_to,8000,3041,38.01,5
device_criticality,8000,1265,15.81,4
duplicate_alert_id_flag,8000,0,0.0,1
duplicate_alert_id_different_content_flag,8000,0,0.0,1
missing_user_id_flag,8000,0,0.0,1
missing_hostname_flag,8000,0,0.0,2
missing_detected_timestamp_flag,8000,0,0.0,2
invalid_detected_timestamp_flag,8000,0,0.0,1
missing_resolved_timestamp_flag,8000,0,0.0,2
invalid_resolved_timestamp_flag,8000,0,0.0,1
impossible_resolution_flag,8000,0,0.0,2
unresolved_alert_flag,8000,0,0.0,2
resolved_without_timestamp_flag,8000,0,0.0,2
unresolved_with_resolution_timestamp_flag,8000,0,0.0,2
unmapped_severity_flag,8000,0,0.0,1
unmapped_status_flag,8000,0,0.0,1
unmapped_criticality_flag,8000,0,0.0,1
sha256_valid_flag,8000,0,0.0,2
sha256_missing_flag,8000,0,0.0,2
invalid_sha256_flag,8000,0,0.0,2
sha256_validation_status,8000,0,0.0,3
data_quality_issue_count,8000,0,0.0,5
data_quality_status,8000,0,0.0,2
