metric,value
raw_rows,30600
exact_duplicate_rows,600
clean_rows,30000
clean_columns,22
duplicate_log_ids,0
missing_log_ids,0
standardized_timestamps,26483
missing_timestamps,3517
unique_hostnames,4606
missing_hostnames,1757
unique_hostname_join_keys,3000
valid_src_ip,14727
invalid_src_ip,13471
missing_src_ip,15273
valid_dst_ip,15507
invalid_dst_ip,12756
missing_dst_ip,14493
valid_src_port,22793
invalid_src_port,3315
missing_src_port,7207
valid_dst_port,22721
invalid_dst_port,3275
missing_dst_port,7279
threat_flag_true,2388
threat_flag_false,27612
valid_session_ids,25485
missing_session_ids,4515
missing_rule_names,6022
missing_geo_country,5023
