column,rows,missing_count,missing_pct,unique_values
event_id,20000,0,0.0,20000
timestamp,20000,2416,12.08,14354
user_id,20000,0,0.0,2983
username,20000,847,4.23,3868
department,20000,5631,28.16,35
event_type,20000,0,0.0,18
auth_method,20000,0,0.0,6
source_ip,20000,2347,11.74,15844
ip_status,20000,0,0.0,5
hostname,20000,1170,5.85,2978
device_id,20000,3528,17.64,2912
session_id,20000,8476,42.38,11452
mfa_passed,20000,0,0.0,2
failure_reason,20000,15146,75.73,9
risk_score,20000,4997,24.98,101
risk_level,20000,18647,93.24,3
geo_location,20000,3372,16.86,6
