session_id,iam_rows,firewall_rows,iam_hostnames,firewall_hostnames,common_hostname_count,iam_timestamp_count,firewall_timestamp_count,min_time_diff_seconds,median_time_diff_seconds,max_time_diff_seconds,hostname_match
SID254452,1,1,lpt-12144,vdr-12177.,0,1,1,937034.0,937034.0,937034.0,False
SID781442,1,1,lpt-11310,lpt-12414,0,1,1,74108.0,74108.0,74108.0,False
SID353090,1,1,ws-10727,vdr-12976,0,0,1,,,,False
SID531363,1,1,lpt-12378,ws-10134,0,1,1,1488390.0,1488390.0,1488390.0,False
SID301229,1,1,vdr-11118,ws-11141,0,1,1,604800.0,604800.0,604800.0,False
SID322508,1,1,vdr-12455,vdr-10562,0,1,1,640514.0,640514.0,640514.0,False
SID337294,1,1,lpt-12055,ws-11952,0,1,1,798827.0,798827.0,798827.0,False
SID645459,1,1,lpt-11683,ws-10319,0,1,1,1888017.0,1888017.0,1888017.0,False
SID713772,1,1,ws-12439,ws-10486,0,1,1,2637315.0,2637315.0,2637315.0,False
SID395868,1,1,,vdr-10966,0,1,1,2013601.0,2013601.0,2013601.0,False
SID881719,1,1,vdr-10672,lpt-11244,0,1,1,58324.0,58324.0,58324.0,False
SID246265,1,1,ws-11865,ws-10280,0,1,1,215880.0,215880.0,215880.0,False
SID819596,1,1,lpt-12704,lpt-12786,0,1,0,,,,False
SID643215,1,1,ws-11416,vdr-10536,0,1,1,151833.0,151833.0,151833.0,False
SID221892,1,1,ws-12931,lpt-12004,0,1,0,,,,False
SID797622,1,1,ws-11293,ws-10341,0,1,1,231540.0,231540.0,231540.0,False
SID941461,1,1,vdr-12949,lpt-12169,0,1,1,603411.0,603411.0,603411.0,False
SID278103,1,1,lpt-10271,vdr-12801,0,1,1,1841840.0,1841840.0,1841840.0,False
SID827120,1,1,vdr-12896,ws-10148,0,1,1,993408.0,993408.0,993408.0,False
SID758068,1,1,ws-11520,ws-10568.,0,1,0,,,,False
SID310198,1,1,lpt-12538,ws-11365,0,0,1,,,,False
SID863912,1,1,ws-11424,ws-12456,0,1,1,433475.0,433475.0,433475.0,False
SID242146,1,1,vdr-10291,vdr-10633,0,1,0,,,,False
SID208942,1,1,lpt-11219,lpt-12640,0,1,0,,,,False
SID733345,1,1,vdr-12247,vdr-11152,0,1,1,2505600.0,2505600.0,2505600.0,False
SID522169,1,1,vdr-10647,vdr-12335,0,1,1,976141.0,976141.0,976141.0,False
SID284265,1,1,lpt-11882,ws-12901,0,0,1,,,,False
SID219683,1,1,ws-10284,ws-10078,0,1,1,2826863.0,2826863.0,2826863.0,False
SID923025,1,1,vdr-11188,lpt-12517,0,1,1,1499508.0,1499508.0,1499508.0,False
SID528362,1,1,vdr-11958,vdr-11402,0,1,1,405543.0,405543.0,405543.0,False
SID555328,1,1,vdr-11224,lpt-10290,0,1,1,975343.0,975343.0,975343.0,False
SID800251,1,1,vdr-12273,vdr-11388,0,1,0,,,,False
SID740285,1,1,ws-12418,lpt-11741,0,1,1,1232039.0,1232039.0,1232039.0,False
SID862541,1,1,vdr-10029,lpt-12962,0,1,1,1906116.0,1906116.0,1906116.0,False
