session_id,iam_rows,firewall_rows,hostname_overlap,timestamp_evidence,min_time_difference_seconds,within_60_minutes
SID219683,1,1,False,True,2826863.0,False
SID128598,1,1,False,True,1468800.0,False
SID788934,1,1,False,True,800750.0,False
SID874053,1,1,False,True,21317.0,False
SID468811,1,1,False,True,2122920.0,False
SID909727,1,1,False,True,632982.0,False
SID165447,1,1,False,True,1116126.0,False
SID761523,1,1,False,True,2129291.0,False
SID904099,1,1,False,False,,False
SID529840,1,1,False,True,213818.0,False
SID532153,1,1,False,True,2503700.0,False
SID529608,1,1,False,False,,False
SID317503,1,1,False,True,2402226.0,False
SID819596,1,1,False,False,,False
SID701274,1,1,False,False,,False
SID798067,1,1,False,False,,False
SID296743,1,1,False,True,283897.0,False
SID117643,1,1,False,True,2402470.0,False
SID758068,1,1,False,False,,False
SID591858,1,1,False,True,1439220.0,False
SID744824,1,1,False,False,,False
SID740285,1,1,False,True,1232039.0,False
SID774772,1,1,False,True,465128.0,False
SID651850,1,1,False,True,37766.0,False
SID259228,1,2,False,True,1191986.0,False
SID309449,1,1,False,True,142370.0,False
SID333537,1,1,False,True,1004569.0,False
SID747573,1,1,False,True,2308799.0,False
SID905239,1,1,False,True,1302923.0,False
SID625265,1,1,False,True,1842513.0,False
SID902803,1,1,False,False,,False
SID627629,1,1,False,True,1203232.0,False
SID231099,1,1,False,True,1611390.0,False
SID555328,1,1,False,True,975343.0,False
SID413380,1,1,False,True,2294985.0,False
SID137615,1,1,False,True,2256625.0,False
SID428528,1,1,False,True,1390894.0,False
SID128650,1,1,False,True,1206488.0,False
SID254452,1,1,False,True,937034.0,False
SID252605,1,1,False,True,1091808.0,False
SID287010,1,1,False,True,2764800.0,False
SID124468,1,1,False,True,1248878.0,False
SID957185,1,1,False,False,,False
SID682331,1,1,False,True,1459943.0,False
SID318634,1,1,False,True,672505.0,False
SID766146,1,1,False,True,1801217.0,False
SID863912,1,1,False,True,433475.0,False
SID592540,1,1,False,False,,False
SID797622,1,1,False,True,231540.0,False
SID451761,1,1,False,True,1136849.0,False
SID969821,1,1,False,True,2196202.0,False
SID104032,1,1,False,True,543768.0,False
SID206920,1,1,False,True,323511.0,False
SID666085,1,1,False,True,54126.0,False
SID373958,1,1,False,True,1316347.0,False
SID221892,1,1,False,False,,False
SID700327,1,1,False,True,1930583.0,False
SID386378,1,1,False,True,299609.0,False
SID310198,1,1,False,False,,False
SID159843,1,1,False,False,,False
SID984495,1,1,False,True,359793.0,False
SID353090,1,1,False,False,,False
SID186796,1,1,False,True,1372945.0,False
SID994310,1,1,False,True,1965087.0,False
SID901240,1,1,False,True,249716.0,False
SID595641,1,1,False,True,1386119.0,False
SID279888,1,1,False,True,2906866.0,False
SID937423,1,1,False,False,,False
SID813079,1,1,False,False,,False
SID153509,1,1,False,False,,False
SID395868,1,1,False,True,2013601.0,False
SID883709,1,1,False,True,723507.0,False
SID110156,1,1,False,True,259200.0,False
SID770400,1,1,False,True,271962.0,False
SID387147,1,1,False,True,228256.0,False
SID477680,1,1,False,True,2699331.0,False
SID600546,1,1,False,True,1164996.0,False
SID269868,1,1,False,False,,False
SID833803,1,1,False,True,2217223.0,False
SID923312,1,2,False,True,670061.0,False
SID951699,2,1,False,True,111886.0,False
SID191627,1,1,False,True,1234179.0,False
SID878184,1,1,False,False,,False
SID719282,1,1,False,True,1063020.0,False
SID380280,1,1,False,True,660215.0,False
SID199006,1,1,False,True,2839913.0,False
SID294997,1,1,False,True,412583.0,False
SID656415,1,1,False,True,318542.0,False
SID370994,1,1,False,False,,False
SID182240,1,1,False,True,1056519.0,False
SID954028,1,1,False,False,,False
SID433508,1,1,False,True,2248568.0,False
SID711589,1,1,False,True,3111295.0,False
SID286161,1,1,False,True,482500.0,False
SID470408,1,1,False,True,1329208.0,False
SID927228,1,1,False,True,1002199.0,False
SID278103,1,1,False,True,1841840.0,False
SID795738,1,1,False,True,363900.0,False
SID882698,1,1,False,True,1026065.0,False
SID119425,1,1,False,True,1282978.0,False
SID404873,1,1,False,True,1267089.0,False
SID322508,1,1,False,True,640514.0,False
SID114504,1,1,False,True,2567803.0,False
SID528362,1,1,False,True,405543.0,False
SID977284,1,1,False,True,62029.0,False
SID142604,1,1,False,True,1581480.0,False
SID941461,1,1,False,True,603411.0,False
SID951918,1,1,False,True,1488775.0,False
SID810476,1,1,False,False,,False
SID493474,1,1,False,True,1950312.0,False
SID366037,1,1,False,True,1460631.0,False
SID476191,1,1,False,False,,False
SID980778,1,1,False,True,1525510.0,False
SID722005,1,1,False,False,,False
SID108513,1,1,False,True,345600.0,False
SID842315,1,1,False,True,277209.0,False
SID894249,1,1,False,True,141217.0,False
SID246265,1,1,False,True,215880.0,False
SID580215,1,1,False,True,910919.0,False
SID101398,1,1,False,True,565201.0,False
SID643215,1,1,False,True,151833.0,False
SID280671,1,1,False,True,500929.0,False
SID943911,1,1,False,True,977916.0,False
SID325009,1,1,False,True,1026687.0,False
SID202870,1,1,False,True,294899.0,False
SID896638,1,1,False,True,780337.0,False
SID416169,1,1,False,True,1263952.0,False
SID942155,1,1,False,True,834420.0,False
SID801196,1,1,False,True,1546612.0,False
SID337294,1,1,False,True,798827.0,False
SID800251,1,1,False,False,,False
SID533496,1,1,False,True,600088.0,False
SID712995,1,1,False,True,1681828.0,False
SID388932,1,2,False,True,198871.0,False
SID717451,1,1,False,True,2059124.0,False
SID289924,1,1,False,True,2571480.0,False
SID249196,1,1,False,True,2225432.0,False
SID969788,1,1,False,True,1345562.0,False
SID304621,1,1,False,True,2925726.0,False
SID667335,1,1,False,True,2246400.0,False
SID518097,1,1,False,True,2175683.0,False
SID939731,1,1,False,False,,False
SID183852,1,1,False,True,1706786.0,False
SID142568,1,1,False,False,,False
SID568344,1,1,False,True,3093186.0,False
SID740099,1,1,False,True,426307.0,False
SID442172,1,1,False,False,,False
SID791037,1,2,False,True,1287817.0,False
SID156948,1,1,False,True,1362676.0,False
SID881719,1,1,False,True,58324.0,False
SID876853,1,1,False,True,2213020.0,False
SID870082,1,1,False,True,1020384.0,False
SID397837,1,1,False,True,2723869.0,False
SID107977,1,1,False,True,1814400.0,False
SID758737,1,1,False,True,325367.0,False
SID511658,1,1,False,True,533392.0,False
SID827120,1,1,False,True,993408.0,False
SID143971,1,1,False,True,2092507.0,False
SID143728,1,1,False,True,1024459.0,False
SID813746,1,1,False,True,847258.0,False
SID416322,1,1,False,True,763765.0,False
SID812237,1,1,False,True,383855.0,False
SID658949,1,1,False,False,,False
SID486699,1,1,False,True,1382400.0,False
SID963164,1,1,False,True,3070637.0,False
SID427872,1,1,False,True,1174327.0,False
SID278224,1,1,False,True,322970.0,False
SID965877,1,1,False,True,540576.0,False
SID383998,1,1,False,True,133731.0,False
SID549263,1,1,False,True,283020.0,False
SID591756,1,1,False,True,958001.0,False
SID870713,1,1,False,True,1094984.0,False
