metric,value
raw_rows,8240
cleaned_rows,8240
unique_alert_ids,8000
rows_with_duplicate_alert_id,480
duplicate_alert_id_excess_rows,240
exact_duplicate_rows,480
duplicate_alert_id_different_content,0
missing_user_id,0
missing_hostname,503
invalid_detected_timestamp,819
invalid_resolved_timestamp,633
impossible_resolution,211
resolved_without_timestamp,1089
unresolved_with_resolution_timestamp,3389
invalid_sha256,815
unmapped_severity,0
unmapped_status,0
unmapped_criticality,0
rows_requiring_review,6377
